"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LSAS7W69","journalArticle","2016","Breeze, T.D.; Gallai, N.; Garibaldi, L.A.; Li, X.S.","Economic Measures of Pollination Services: Shortcomings and Future Directions","Trends in Ecology & Evolution","","","10.1016/j.tree.2016.09.002","https://doi.org/10.1016/j.tree.2016.09.002","","2016","2023-10-18 09:46:18","2023-10-18 09:46:18","","927–939","","12","31","","","","","","","","","","fr","","","","","","","Citation Key: breeze2016a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/FXHEKTUR/Breeze et al_2016_Economic Measures of Pollination Services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4DSG2D7","report","","","Economic Benefits of Pollination to Global Food Systems – Evidence and Knowledge Gaps: Final Report","","","","","","","XXXX","2023-10-18 09:46:18","2023-10-18 09:57:42","","","","","","","","","","","","","","","en","","","","","","","Citation Key: unknown-a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/LT9DXT33/0000_Economic Benefits of Pollination to Global Food Systems – Evidence and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4H4PEBG","journalArticle","2019","Brunetti, I.; Tidball, M.; Couvet, D.","Relationship between biodiversity and agricultural production","Natural Resource Modeling","","","10.1111/nrm.12204","https://doi.org/10.1111/nrm.12204","","2019","2023-10-18 09:46:18","2023-10-18 09:46:18","","12204","","2","32","","","","","","","","","","en","","","","","","","Citation Key: brunetti2019a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/EUDYDSI6/Brunetti et al_2019_Relationship between biodiversity and agricultural production.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9A2FF7D","document","","","Bulgarian ecosystems/landscapes a setting for Hollywood movies","","","","","","","XXXX","2023-10-18 09:46:18","2023-10-18 10:04:48","","","","","","","","","","","","","","","en","","","","","","","Citation Key: unknown-b","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/SR4ELPEP/0000_Bulgarian ecosystems-landscapes a setting for Hollywood movies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSF73JE8","journalArticle","2023","Carvalho, S.H.C.D.; Cojoianu, T.; Ascui, F.","From impacts to dependencies: A first global assessment of corporate biodiversity risk exposure and responses","Business Strategy and the Environment","","","10.1002/bse.3142","https://doi.org/10.1002/bse.3142","","2023","2023-10-18 09:46:18","2023-10-18 09:46:18","","2600–2614","","5","32","","","","","","","","","","en","","","","","","","Citation Key: carvalho2023a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/GKM434DT/Carvalho et al_2023_From impacts to dependencies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBAAD2NN","journalArticle","2018","Gutierrez-Arellano, C.; Mulligan, M.","A review of regulation ecosystem services and disservices from faunal populations and potential impacts of agriculturalisation on their provision, globally","Nature Conservation","","","10.3897/natureconservation.30.26989","https://doi.org/10.3897/natureconservation.30.26989","","2018","2023-10-18 09:46:18","2023-10-18 09:46:18","","1–39","","","30","","","","","","","","","","en","","","","","","","Citation Key: gutierrez-arellano2018a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/P2MTAJRL/Gutierrez-Arellano_Mulligan_2018_A review of regulation ecosystem services and disservices from faunal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGUN7ESN","journalArticle","2014","Harrison, P.A.; Berry, P.M.; Simpson, G.; Haslett, J.R.; Blicharska, M.; Bucur, M.; Dunford, R.; Egoh, B.; Garcia-Llorente, M.; Geamănă, N.; Geertsema, W.; Lommelen, E.; Meiresonne, L.; Turkelboom, F.","Linkages between biodiversity attributes and ecosystem services: A systematic review","Ecosystem Services","","","10.1016/j.ecoser.2014.05.006","https://doi.org/10.1016/j.ecoser.2014.05.006","","2014","2023-10-18 09:46:18","2023-10-18 09:46:18","","191–203","","","9","","","","","","","","","","en","","","","","","","Citation Key: harrison2014a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/I5XGFIBL/Harrison et al_2014_Linkages between biodiversity attributes and ecosystem services.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SI4CDADB","journalArticle","2012","Houdet, J.; Trommetter, M.; Weber, J.","Understanding changes in business strategies regarding biodiversity and ecosystem services","Ecological Economics","","","10.1016/j.ecolecon.2011.10.013","https://doi.org/10.1016/j.ecolecon.2011.10.013","","2012","2023-10-18 09:46:18","2023-10-18 09:46:18","","37–46","","","73","","","","","","","","","","nl","","","","","","","Citation Key: houdet2012a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/JMMCWKS9/Houdet et al_2012_Understanding changes in business strategies regarding biodiversity and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSQRQTKG","journalArticle","2016","Kennedy, C.M.; Miteva, D.A.; Baumgarten, L.; Hawthorne, P.L.; Sochi, K.; Polasky, S.; Oakleaf, J.R.; Uhlhorn, E.M.; Kiesecker, J.","Bigger is better: Improved nature conservation and economic returns from landscape-level mitigation","Science Advances","","","10.1126/sciadv.1501021","https://doi.org/10.1126/sciadv.1501021","","2016","2023-10-18 09:46:18","2023-10-18 09:46:18","","1501021","","7","2","","","","","","","","","","en","","","","","","","Citation Key: kennedy2016a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/HJJASXXR/Kennedy et al_2016_Bigger is better.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNJ9D4M5","journalArticle","2019","Liu, W.; Antonelli, M.; Kummu, M.; Zhao, X.; Wu, P.; Liu, J.; Zhuo, L.; Yang, H.","Savings and losses of global water resources in food‐related virtual water trade","WIREs Water","","","10.1002/wat2.1320","https://doi.org/10.1002/wat2.1320","","2019","2023-10-18 09:46:18","2023-10-18 09:46:18","","1320","","1","6","","","","","","","","","","en","","","","","","","Citation Key: liu2019a","","/Users/rainerkrug/Zotero IPBES_BBA_Ch2_Snowball/storage/8KVYSI3Q/Liu et al_2019_Savings and losses of global water resources in food‐related virtual water trade.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
